Cust_ID,Target,Age,Gender,Balance,Occupation,No_OF_CR_TXNS,AGE_BKT,Holding_Period,SCR
C124,0,33,F,4563.4,SAL,26,31-35,8,940
C125,0,44,F,89058.99,PROF,36,41-45,14,893
C126,1,36,F,38721.74,NA,12,36-40,1,834
C127,1,29,F,50949.27,PROF,29,26-30,15,947
C128,1,49,F,82901.14,PROF,15,46-50,16,860
C129,1,43,F,36006.29,PROF,23,41-45,13,537
C130,0,54,F,13044.58,SAL,37,>50,5,734
C131,0,34,M,7557.73,SAL,6,31-35,31,992
C132,0,38,M,59186.07,PROF,20,36-40,8,226
C133,0,33,M,27597.86,SAL,1,31-35,20,901
C134,0,47,M,93507.65,PROF,24,46-50,1,250
C135,0,25,M,98275.21,SAL,30,<25,0,414
C136,0,48,M,120369.84,PROF,25,46-50,9,890
C137,0,28,M,88104.12,PROF,38,26-30,28,139
C138,0,25,M,60831.25,PROF,38,<25,17,242
C139,0,45,M,22461.34,SAL,40,41-45,28,916
C140,0,46,M,13648.4,SAL,1,46-50,19,499
C141,0,49,M,185636.01,SAL,37,46-50,3,399
C142,0,33,F,13113.7,SAL,5,31-35,13,891
C143,0,42,F,10192.41,SAL,7,41-45,30,784
C144,0,38,F,212521.94,SAL,46,36-40,11,445
C145,0,53,F,14826.07,SAL,31,>50,10,297
C146,0,53,F,53135.54,SAL,36,>50,30,793
C147,0,52,F,111715.02,PROF,13,>50,3,532
C148,0,44,F,13497.03,PROF,27,41-45,1,211
C149,0,54,F,4621.28,SAL,31,>50,16,678
C150,0,33,F,8669.5,SAL,25,31-35,17,742
C151,0,44,F,11821.84,PROF,43,41-45,15,651
C152,0,28,F,38269.59,SAL,14,26-30,13,695
C153,0,30,F,54704.88,PROF,50,26-30,20,416
C154,0,53,F,72814.87,SAL,31,>50,30,792
C155,0,47,F,138396.37,PROF,35,46-50,10,124
C156,0,37,F,27059.6,PROF,14,36-40,31,143
C157,0,25,F,25505.61,SAL,13,<25,3,965
C158,0,47,F,172872.43,SAL,3,46-50,26,604
C159,1,37,F,125523.92,SAL,24,36-40,3,928
C160,0,47,F,199423.86,PROF,21,46-50,30,349
C161,0,28,F,59254.63,PROF,13,26-30,17,214
C162,1,28,F,58897.12,PROF,16,26-30,2,705
C163,0,45,F,212521.94,SAL,5,41-45,1,349
C164,0,53,F,5686.27,PROF,45,>50,15,573
C165,1,47,F,212521.94,PROF,17,46-50,6,945
C166,1,29,F,201181.89,PROF,18,26-30,0,983
C167,1,34,F,6879.73,PROF,12,31-35,3,533
C168,1,23,F,32728.36,SAL,33,<25,3,742
C169,0,34,F,667325.08,PROF,37,31-35,22,299
C170,0,33,F,245500,PROF,38,31-35,16,423
C171,0,33,F,100647.62,PROF,27,31-35,6,770
C172,0,28,F,554538.52,SAL,0,26-30,22,478
C173,0,33,M,79132.83,PROF,48,31-35,1,232
C174,0,34,M,589630.3,SAL,42,31-35,29,173
C175,0,34,M,201181.89,SAL,9,31-35,18,718
C176,0,34,M,108090.83,SAL,32,31-35,6,245
C177,0,27,M,201181.89,SAL,3,26-30,12,926
C178,0,29,M,100231.82,PROF,5,26-30,12,227
C179,0,28,M,141228.42,SAL,31,26-30,13,448
C180,0,40,M,710106.95,SAL,4,36-40,26,836
C181,0,26,M,573946.29,SAL,13,26-30,3,831
C182,0,34,M,201181.89,SAL,35,31-35,23,866
C183,0,23,M,627960.17,SAL,42,<25,14,695
C184,0,22,M,201181.89,SAL,34,<25,26,500
C185,0,28,M,607419.4,SAL,24,26-30,24,380
C186,1,30,M,201181.89,SAL,20,26-30,1,934
C187,0,30,M,160733.76,SAL,49,26-30,23,453
C188,0,32,M,674674.51,SAL,3,31-35,28,298
C189,0,22,M,201181.89,SAL,8,<25,2,487
C190,0,41,M,238943.27,SAL,24,41-45,21,481
C191,0,32,M,238943.27,SAL,43,31-35,12,154
C192,0,30,M,576681.29,SAL,50,26-30,1,451
C193,0,29,M,238943.27,SAL,18,26-30,1,935
C194,0,27,M,8932.87,SAL,33,26-30,1,569
C195,0,27,M,27391.9,SAL,20,26-30,31,999
C196,0,29,M,667414.95,SAL,2,26-30,2,929
C197,0,31,M,509016.69,SAL,43,31-35,29,125
C198,1,29,M,53780.82,SAL,10,26-30,15,783
C199,0,42,M,672959.17,SAL,4,41-45,14,496
C200,0,34,M,40536.69,SELF-EMP,45,31-35,12,562
C201,0,26,M,652967.65,SAL,35,26-30,11,558
C202,0,35,M,690585.84,SAL,44,31-35,26,490
C203,0,29,M,242186.57,SAL,23,26-30,2,789
C204,1,24,M,30134.96,SELF-EMP,18,<25,1,884
C205,1,24,M,391931.21,SAL,21,<25,1,940
C206,1,28,M,7257.38,SAL,13,26-30,2,924
C207,1,24,F,330458.98,SAL,14,<25,7,989
C208,0,50,F,671831.29,SAL,12,46-50,4,106
C209,0,24,F,245500,SELF-EMP,7,<25,17,554
C210,0,32,F,144258.73,SAL,37,31-35,13,328
C211,0,47,F,684674.12,SAL,42,46-50,18,230
C212,0,32,F,98328.19,SAL,7,31-35,20,939
C213,0,41,F,690229.34,SELF-EMP,26,41-45,16,490
C214,0,41,F,245500,SAL,18,41-45,5,340
C215,0,38,M,1202625.81,PROF,33,36-40,1,944
C216,0,33,M,245500,SAL,24,31-35,0,153
C217,0,23,M,193048.94,PROF,21,<25,0,327
C218,0,45,M,108680.3,SAL,10,41-45,23,232
C219,0,35,M,38727.56,SELF-EMP,38,31-35,19,197
C220,0,28,M,192465.84,SELF-EMP,8,26-30,21,446
C221,0,26,M,165792.36,SAL,50,26-30,5,506
C222,0,23,M,107527.91,SAL,15,<25,18,136
C223,0,23,M,245500,SAL,35,<25,25,322
C224,0,38,M,36253.61,SAL,29,36-40,24,903
C225,0,23,M,606698.91,SELF-EMP,30,<25,16,961
C226,0,37,M,249809.73,SELF-EMP,5,36-40,9,932
C227,0,25,M,43776.39,SAL,6,<25,18,555
C228,0,24,M,781221.45,SAL,23,<25,30,428
C229,0,23,M,245500,SELF-EMP,3,<25,13,815
C230,0,28,M,26368.64,SELF-EMP,48,26-30,17,249
C231,0,25,M,234687.26,SELF-EMP,2,<25,16,145
C232,0,32,M,249809.73,SELF-EMP,35,31-35,1,367
C233,0,29,M,127750.71,SAL,31,26-30,4,612
C234,0,31,M,10188.44,SAL,18,31-35,30,930
C235,0,45,M,111408.24,SAL,43,41-45,0,950
C236,0,28,M,249809.73,SAL,18,26-30,11,420
C237,0,31,M,112516.84,SAL,25,31-35,12,107
C238,1,25,M,74105.46,SELF-EMP,15,<25,7,765
C239,0,36,M,249809.73,SAL,35,36-40,11,951
C240,0,46,M,926777.04,PROF,7,46-50,1,862
C241,0,23,M,532215.84,SAL,37,<25,7,277
C242,0,41,M,249809.73,SAL,29,41-45,28,897
C243,0,24,M,245500,SAL,39,<25,4,138
C244,0,35,M,730461.68,SAL,1,31-35,2,955
C245,1,27,F,249809.73,SAL,18,26-30,8,854
C246,1,25,F,54448.46,SELF-EMP,32,<25,17,899
C247,1,26,F,29255.92,SAL,16,26-30,6,936
C248,0,55,M,48845.48,SAL,7,>50,27,826
C249,0,25,M,755647.81,SELF-EMP,2,<25,25,992
C250,0,46,F,685014.12,SAL,27,46-50,26,722
C251,0,46,F,773059.09,SELF-EMP,23,46-50,27,169
C252,0,45,F,586764.26,PROF,28,41-45,28,496
C253,0,25,F,40728.97,SELF-EMP,29,<25,28,298
C254,0,26,F,722925.48,SAL,45,26-30,10,651
C255,0,39,F,249809.73,PROF,9,36-40,30,561
C256,0,24,F,552781.87,SAL,7,<25,11,276
C257,0,33,F,525905.49,SAL,10,31-35,26,959
C258,0,33,F,96428.23,SAL,41,31-35,16,441
C259,0,26,F,753374.92,SELF-EMP,23,26-30,0,265
C260,0,28,F,249809.73,SAL,22,26-30,1,461
C261,0,27,O,111544.52,PROF,20,26-30,6,189
C262,0,27,O,134243.57,SAL,39,26-30,18,565
C263,0,27,O,50500.59,SAL,7,26-30,25,248
C264,0,23,O,141861.04,SELF-EMP,2,<25,14,619
C265,0,47,O,22411.11,SAL,22,46-50,3,461
C266,0,47,O,935442.01,SAL,15,46-50,5,330
C267,0,21,O,43859.21,SAL,6,<25,6,733
C268,0,27,O,660337.7,PROF,34,26-30,14,408
C269,0,28,O,686659.36,SELF-EMP,33,26-30,15,298
C270,0,27,O,644712.72,SAL,36,26-30,26,717
C271,0,30,O,249809.73,SAL,48,26-30,29,845
C272,0,23,O,249809.73,SAL,41,<25,20,529
C273,0,23,M,149655.79,SAL,32,<25,29,736
C274,0,23,M,19405.53,SELF-EMP,15,<25,7,616
C275,0,25,M,799302.81,SAL,46,<25,7,757
C276,0,26,M,3282.89,SELF-EMP,5,26-30,9,667
C277,0,24,M,245500,SAL,7,<25,28,680
C278,1,23,M,338539.09,SELF-EMP,14,<25,14,803
C279,0,27,M,245500,SAL,3,26-30,22,172
C280,0,26,M,0,SELF-EMP,13,26-30,21,373
C281,0,22,M,59406,SELF-EMP,48,<25,1,188
C282,0,22,M,245500,SAL,9,<25,19,650
C283,0,45,M,72488.96,SAL,21,41-45,9,443
C284,1,35,M,430471.53,SELF-EMP,15,31-35,9,943
C285,1,32,M,113619.1,SELF-EMP,8,31-35,4,947
C286,1,41,M,167437.67,SELF-EMP,36,41-45,1,939
C287,1,36,M,153137.31,SELF-EMP,9,36-40,2,990
C288,0,35,M,243751.61,SAL,36,31-35,26,301
C289,0,38,M,32592.23,SAL,43,36-40,20,363
C290,0,28,M,232599.32,SAL,32,26-30,12,194
C291,0,22,M,245500,PROF,24,<25,9,665
C292,0,33,M,245500,PROF,40,31-35,29,329
C293,0,31,M,245500,PROF,35,31-35,21,597
C294,0,31,M,245500,PROF,32,31-35,10,208
C295,0,31,M,245500,PROF,49,31-35,14,647
C296,0,46,M,147057.66,PROF,17,46-50,14,958
C297,0,30,M,832435.72,PROF,49,26-30,7,309
C298,0,26,M,552629.98,SAL,23,26-30,16,176
C299,0,40,M,734084.94,SAL,9,36-40,25,265
C300,0,25,M,245500,PROF,7,<25,26,899
C301,0,28,M,593437.2,PROF,23,26-30,11,940
C302,0,32,M,716273.61,PROF,7,31-35,16,317
C303,0,31,M,33938.64,PROF,47,31-35,1,765
C304,0,22,M,176952.45,SAL,27,<25,10,538
C305,0,23,M,201244.06,PROF,9,<25,19,312
C306,0,43,M,32126.06,PROF,23,41-45,2,313
C307,0,43,M,245500,PROF,15,41-45,14,170
C308,0,43,M,63458.36,SAL,21,41-45,29,909
C309,0,39,M,245500,SAL,14,36-40,17,377
C310,0,26,M,245500,SAL,5,26-30,13,129
C311,0,25,M,188735.25,PROF,36,<25,26,497
C312,0,26,M,7333.42,SAL,4,26-30,30,341
C313,0,40,M,753377.9,PROF,12,36-40,25,449
C314,0,25,M,245500,PROF,1,<25,16,817
C315,0,31,M,631754.93,PROF,5,31-35,0,698
C316,0,26,M,170278.69,PROF,6,26-30,2,626
C317,0,31,M,136514.05,PROF,1,31-35,19,926
C318,1,32,M,237422.86,PROF,19,31-35,3,885
C319,0,55,M,42014.27,PROF,19,>50,31,919
C320,0,30,M,540571.25,PROF,14,26-30,18,219
C321,0,27,M,226789,SAL,8,26-30,15,387
C322,0,52,M,226789,SAL,49,>50,24,710
C323,0,55,M,248072.05,SAL,28,>50,20,939
C324,1,28,M,107493.86,SAL,17,26-30,2,596
C325,1,42,M,62248.68,PROF,37,41-45,3,550
C326,1,26,M,230058.29,PROF,18,26-30,1,722
C327,1,46,M,220934.09,PROF,23,46-50,1,767
C328,0,25,M,207973.87,SAL,1,<25,12,400
C329,0,25,M,216151.56,PROF,8,<25,20,395
C330,0,34,M,104022.5,PROF,36,31-35,22,913
C331,0,24,M,584232.19,SAL,27,<25,15,355
C332,0,26,M,4755.95,PROF,16,26-30,16,204
C333,0,48,M,869611.58,SAL,48,46-50,10,429
C334,0,38,M,226789,PROF,36,36-40,18,571
C335,0,49,M,967389.12,PROF,15,46-50,31,848
C336,0,24,M,226789,PROF,40,<25,25,512
C337,0,25,M,486717.55,PROF,13,<25,1,263
C338,0,26,M,226135.04,PROF,15,26-30,3,831
C339,0,40,M,148816.72,SAL,7,36-40,31,781
C340,0,25,M,736101.42,PROF,33,<25,9,670
C341,0,51,M,83815.72,PROF,27,>50,13,648
C342,0,42,M,48565.28,SAL,8,41-45,6,744
C343,0,46,M,157889.92,SAL,45,46-50,5,264
C344,0,43,M,32170,SAL,42,41-45,24,141
C345,0,26,M,10889.24,SAL,16,26-30,25,984
C346,0,50,M,31656.48,SAL,41,46-50,0,837
C347,0,31,M,20211.18,SAL,37,31-35,3,694
C348,0,44,M,72969.68,SELF-EMP,8,41-45,24,155
C349,0,54,M,54833.18,SAL,43,>50,12,111
C350,0,29,M,64576.12,SAL,32,26-30,24,328
C351,0,41,M,39638.99,SELF-EMP,16,41-45,24,193
C352,0,43,M,76223.49,SELF-EMP,37,41-45,6,726
C353,0,42,M,93055.07,SELF-EMP,28,41-45,10,312
C354,0,53,M,85212.36,SELF-EMP,22,>50,13,447
C355,0,42,M,32212.45,SELF-EMP,48,41-45,21,581
C356,0,42,M,1416.77,SELF-EMP,42,41-45,28,138
C357,1,37,M,3193.83,SELF-EMP,35,36-40,1,943
C358,0,41,M,1056.95,SELF-EMP,49,41-45,27,383
C359,0,51,M,3242.36,SELF-EMP,0,>50,16,447
C360,0,51,M,14156.59,SELF-EMP,43,>50,1,454
C361,0,39,M,5375.83,PROF,2,36-40,13,210
C362,1,47,F,1182.32,SELF-EMP,19,46-50,0,954
C363,1,36,F,5935.06,SELF-EMP,12,36-40,3,888
C364,1,43,F,13389.08,SELF-EMP,13,41-45,8,897
C365,1,37,F,5588.28,SELF-EMP,38,36-40,6,996
C366,1,47,F,7026.9,SELF-EMP,27,46-50,4,904
C367,0,54,M,13340.27,SELF-EMP,12,>50,1,729
C368,0,46,M,5060.06,SELF-EMP,35,46-50,29,684
C369,0,53,M,3001.23,SELF-EMP,21,>50,9,721
C370,0,35,M,874.62,SELF-EMP,22,31-35,25,750
C371,0,53,M,8748.64,SELF-EMP,3,>50,0,942
C372,0,36,M,8435.94,SELF-EMP,20,36-40,18,348
C373,0,45,M,6088.17,SELF-EMP,33,41-45,0,758
C374,0,50,M,178674.59,SELF-EMP,26,46-50,14,366
C375,0,36,M,7102.01,PROF,33,36-40,1,210
C376,0,55,M,1965.25,SELF-EMP,1,>50,15,761
C377,0,45,M,5238.15,SELF-EMP,22,41-45,31,633
C378,0,51,M,346418.51,SAL,39,>50,25,172
C379,0,48,M,74984.51,SELF-EMP,45,46-50,12,577
C380,1,44,M,32498.49,SELF-EMP,16,41-45,15,844
C381,0,41,M,37083.3,SELF-EMP,9,41-45,20,909
C382,0,47,M,11576.42,SELF-EMP,37,46-50,29,151
C383,0,41,M,1959.19,SELF-EMP,10,41-45,29,401
C384,0,28,M,22972.64,SELF-EMP,2,26-30,2,987
C385,0,49,M,4461.53,SELF-EMP,25,46-50,28,994
C386,0,30,M,3800.64,SELF-EMP,2,26-30,26,654
C387,0,32,M,93217.74,SELF-EMP,28,31-35,24,835
C388,0,35,M,495989.12,SAL,22,31-35,22,879
C389,0,23,M,649066.6,PROF,19,<25,0,561
C390,1,41,M,14302.55,PROF,18,41-45,6,946
C391,0,44,M,7606.13,SAL,14,41-45,10,992
C392,0,22,M,593147.47,SAL,23,<25,24,541
C393,0,28,M,13617.84,SAL,46,26-30,8,411
C394,0,23,M,25553.6,SELF-EMP,21,<25,5,444
C395,0,43,M,696414.21,SAL,50,41-45,10,586
C396,0,35,M,4263.17,SAL,49,31-35,13,973
C397,1,45,M,9993.55,PROF,10,41-45,1,735
C398,0,28,M,44468.81,SELF-EMP,11,26-30,9,809
C399,0,39,M,1532.76,PROF,17,36-40,13,254
C400,0,44,M,4137.54,PROF,37,41-45,9,977
C401,0,51,M,20078.89,PROF,1,>50,20,564
C402,0,46,M,56027.2,SAL,4,46-50,23,274
C403,1,22,M,6593.97,SELF-EMP,2,<25,1,783
C404,1,39,M,232184.16,SELF-EMP,13,36-40,12,744
C405,1,46,M,32381.56,SELF-EMP,21,46-50,15,559
C406,1,44,M,32362.25,SELF-EMP,8,41-45,7,958
C407,0,44,M,232867.2,SAL,2,41-45,17,917
C408,0,43,M,8569.86,SAL,21,41-45,23,147
C409,0,52,M,29164.43,SAL,45,>50,21,941
C410,0,23,M,2340.57,SAL,28,<25,9,328
C411,0,42,M,303205.19,SAL,2,41-45,14,375
C412,0,54,M,175795.9,SELF-EMP,36,>50,10,481
C413,0,30,M,22554.63,PROF,1,26-30,4,244
C414,0,55,M,11511.47,SAL,35,>50,17,424
C415,0,42,M,20179.21,SAL,50,41-45,10,897
C416,0,47,M,7770.75,SAL,9,46-50,11,478
C417,1,46,M,1120.03,SELF-EMP,18,46-50,8,904
C418,0,42,M,135739.74,SAL,46,41-45,23,435
C419,1,32,M,9934.34,SELF-EMP,19,31-35,6,917
C420,0,30,M,5026.88,SAL,7,26-30,1,810
C421,0,27,M,6361.43,SAL,17,26-30,30,966
C422,0,25,M,83964.83,SAL,12,<25,25,869
C423,0,25,M,4480.59,SAL,46,<25,31,542
C424,0,41,M,76184.75,SAL,39,41-45,22,131
C425,0,41,M,1199.35,SELF-EMP,36,41-45,18,683
C426,1,41,M,867.54,PROF,17,41-45,0,812
C427,0,54,M,515.47,SAL,42,>50,21,325
C428,0,48,M,73228.23,SAL,43,46-50,8,519
C429,0,55,M,17927.76,SAL,50,>50,7,100
C430,0,41,M,3719.09,SAL,50,41-45,12,195
C431,0,36,M,1306.91,SAL,17,36-40,31,734
C432,0,26,M,450.2,SAL,43,26-30,6,136
C433,0,37,M,64331.68,SAL,11,36-40,8,910
C434,0,45,M,169578.63,SAL,14,41-45,16,298
C435,0,26,M,742337.3,SAL,44,26-30,25,200
C436,1,27,M,35439.09,SELF-EMP,11,26-30,20,925
C437,0,25,M,9309.51,SAL,29,<25,14,242
C438,0,30,M,5026.64,SAL,48,26-30,16,589
C439,0,48,M,4751.54,SAL,25,46-50,4,899
C440,0,28,M,803.43,SAL,49,26-30,3,798
C441,0,27,M,260.75,SAL,26,26-30,3,615
C442,0,24,M,98616.93,SAL,2,<25,23,448
C443,1,41,M,107276.22,PROF,14,41-45,11,604
C444,1,36,M,23890.06,SELF-EMP,35,36-40,16,902
C445,1,33,M,8233.01,SELF-EMP,15,31-35,1,754
C446,0,38,M,3663.66,SAL,30,36-40,26,726
C447,0,47,M,2715.25,SAL,32,46-50,4,250
C448,0,44,M,26811.88,PROF,7,41-45,20,566
C449,0,32,M,4154.73,SAL,50,31-35,28,590
C450,0,25,M,3237.44,SELF-EMP,4,<25,17,108
C451,0,28,M,1496.19,SELF-EMP,50,26-30,29,768
C452,0,31,M,5030.24,SAL,12,31-35,16,628
C453,1,42,M,10194.81,SELF-EMP,18,41-45,1,934
C454,0,29,M,2492.38,SELF-EMP,8,26-30,12,714
C455,0,39,M,11675.68,SAL,2,36-40,17,180
C456,0,32,M,7708.1,SAL,24,31-35,27,522
C457,0,27,M,78544.66,SELF-EMP,4,26-30,16,387
C458,0,27,M,332256.5,SAL,6,26-30,4,731
C459,0,32,M,70655.53,PROF,33,31-35,14,441
C460,0,53,M,10930.45,SAL,34,>50,0,873
C461,0,52,M,5383.42,SAL,11,>50,25,379
C462,0,43,M,208758.88,SELF-EMP,38,41-45,30,528
C463,0,41,M,228525.66,SAL,2,41-45,13,287
C464,0,49,M,5037.47,PROF,10,46-50,15,953
C465,0,49,M,30222.18,SAL,45,46-50,9,933
C466,0,37,M,1216.41,SAL,2,36-40,11,496
C467,0,53,M,418.99,SAL,9,>50,7,738
C468,0,52,M,4207.22,SELF-EMP,25,>50,31,921
C469,0,38,M,2369.83,SAL,35,36-40,24,714
C470,0,33,M,2466.06,SAL,37,31-35,8,828
C471,0,54,M,3370.14,PROF,15,>50,2,499
C472,0,42,M,1734.22,PROF,6,41-45,19,925
C473,0,53,M,8235.06,SAL,26,>50,6,563
C474,0,28,M,3717.52,SAL,3,26-30,23,370
C475,1,44,M,100025.37,SELF-EMP,9,41-45,3,707
C476,0,39,M,3829.66,SELF-EMP,6,36-40,16,956
C477,0,41,M,4831.06,SAL,17,41-45,12,301
C478,0,43,M,1341.1,SELF-EMP,17,41-45,26,949
C479,0,44,M,937.11,SAL,39,41-45,27,517
C480,0,51,M,10045.24,SAL,39,>50,16,851
C481,1,35,M,23524.52,PROF,37,31-35,2,798
C482,1,54,M,12740.89,SELF-EMP,8,>50,1,803
C483,1,43,M,5524.84,SELF-EMP,23,41-45,5,993
C484,1,44,M,10791.71,SELF-EMP,17,41-45,3,678
C485,0,53,M,24879.9,SAL,48,>50,13,806
C486,0,34,M,10641.47,SAL,8,31-35,23,109
C487,0,54,M,39999.82,SAL,21,>50,13,914
